epiweek,time_value,issue,geo_type,geo_value,flu_tests,fluah1n1pdm09_positive_tests,fluah3_positive_tests,fluauns_positive_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,hpiv1_positive_tests,hpiv2_positive_tests,hpiv3_positive_tests,hpiv4_positive_tests,hpivother_positive_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,evrv_tests,evrv_positive_tests,hcov_tests,hcov_positive_tests
201734,2017-08-26,2017-08-31,lab,nl,27,0,0,0,0,0,27,0,27,0,1,0,0,0,27,0,27,0,27,4,NA,NA
201734,2017-08-26,2017-08-31,lab,pe,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0
201734,2017-08-26,2017-08-31,lab,ns,5,0,0,0,0,0,5,0,2,0,0,0,0,0,2,0,2,0,2,0,2,0
201734,2017-08-26,2017-08-31,lab,nb,31,0,0,0,0,0,31,0,23,0,0,1,0,0,23,1,23,1,23,0,23,0
201734,2017-08-26,2017-08-31,region,atlantic,64,0,0,0,0,0,64,0,53,0,1,1,0,0,53,1,53,1,53,4,26,0
201734,2017-08-26,2017-08-31,lab,région nord est,16,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0
201734,2017-08-26,2017-08-31,lab,québec chaudière appalaches,35,0,0,0,0,0,48,0,46,0,0,0,0,0,49,0,45,0,NA,NA,44,0
201734,2017-08-26,2017-08-31,lab,centre du québec,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0
201734,2017-08-26,2017-08-31,lab,montréal laval,333,0,0,1,1,0,339,0,302,11,0,3,6,0,310,7,297,1,NA,NA,263,2
201734,2017-08-26,2017-08-31,lab,ouest du québec,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0
201734,2017-08-26,2017-08-31,lab,montérégie,10,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0
201734,2017-08-26,2017-08-31,region,qc,405,0,0,1,1,0,418,2,348,11,0,3,6,0,359,7,342,1,NA,NA,307,2
201734,2017-08-26,2017-08-31,lab,ottawa phl,14,0,0,0,0,0,14,0,14,0,1,0,0,0,14,0,14,0,9,0,9,0
201734,2017-08-26,2017-08-31,lab,cheo hee0 ottawa,54,0,0,1,1,0,54,2,0,0,0,0,0,0,19,1,19,0,19,7,19,0
201734,2017-08-26,2017-08-31,lab,kingston phl,11,0,0,0,0,0,11,0,11,0,0,0,0,0,11,0,11,0,9,3,9,0
201734,2017-08-26,2017-08-31,lab,uhn mount sinai hospital,121,0,0,2,2,0,121,0,16,0,0,0,0,0,0,0,16,1,0,0,0,0
201734,2017-08-26,2017-08-31,lab,phol toronto,162,0,1,0,1,0,160,1,160,4,0,1,1,0,160,2,155,0,57,5,51,0
201734,2017-08-26,2017-08-31,lab,sick kids hospital toronto,36,0,0,0,0,0,36,1,36,0,0,0,0,0,36,1,36,0,36,9,36,0
201734,2017-08-26,2017-08-31,lab,sunnybrook womens college hsc,27,0,0,0,0,0,27,0,27,0,0,0,0,0,27,0,27,1,27,7,27,0
201734,2017-08-26,2017-08-31,lab,sault ste marie phl,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0
201734,2017-08-26,2017-08-31,lab,timmins phl,6,0,0,0,0,0,6,0,6,0,0,0,0,0,6,0,6,0,2,1,2,0
201734,2017-08-26,2017-08-31,lab,st josephs london,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201734,2017-08-26,2017-08-31,lab,london phl,25,0,0,0,0,0,25,1,25,1,0,0,0,0,25,0,22,0,21,3,18,0
201734,2017-08-26,2017-08-31,lab,orillia phl,6,0,0,0,0,0,6,0,6,0,0,0,0,0,6,0,5,0,6,1,5,0
201734,2017-08-26,2017-08-31,lab,thunder bay phl,3,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0
201734,2017-08-26,2017-08-31,lab,sudbury phl,6,0,0,0,0,0,6,0,6,0,0,0,0,0,6,0,5,0,5,0,4,0
